Date,SP500,IBEX35
2016-07-01,2102.949951171875,8268.900390625
2016-07-05,2088.550048828125,8067.60009765625
2016-07-06,2099.72998046875,7926.2001953125
2016-07-07,2097.89990234375,8008.2001953125
2016-07-08,2129.89990234375,8185.89990234375
2016-07-11,2137.159912109375,8305.099609375
2016-07-12,2152.139892578125,8506.0
2016-07-13,2152.429931640625,8473.900390625
2016-07-14,2163.75,8552.2998046875
2016-07-15,2161.739990234375,8531.0
2016-07-18,2166.889892578125,8524.400390625
2016-07-19,2163.780029296875,8485.2001953125
2016-07-20,2173.02001953125,8575.5
2016-07-21,2165.169921875,8583.599609375
2016-07-22,2175.030029296875,8599.900390625
2016-07-25,2168.47998046875,8575.7001953125
2016-07-26,2169.179931640625,8560.2001953125
2016-07-27,2166.580078125,8661.400390625
2016-07-28,2170.06005859375,8479.2001953125
2016-07-29,2173.60009765625,8587.2001953125
2016-08-01,2170.840087890625,8513.400390625
2016-08-02,2157.030029296875,8277.2998046875
2016-08-03,2163.7900390625,8263.5
2016-08-04,2164.25,8385.5
2016-08-05,2182.8701171875,8539.400390625
2016-08-08,2180.889892578125,8562.5
2016-08-09,2181.739990234375,8665.400390625
2016-08-10,2175.489990234375,8658.900390625
2016-08-11,2185.7900390625,8719.5
2016-08-12,2184.050048828125,8716.400390625
2016-08-15,2190.14990234375,8720.599609375
2016-08-16,2178.14990234375,8621.7001953125
2016-08-17,2182.219970703125,8487.0
2016-08-18,2187.02001953125,8550.099609375
2016-08-19,2183.8701171875,8450.599609375
2016-08-22,2182.639892578125,8468.0
2016-08-23,2186.89990234375,8580.900390625
2016-08-24,2175.43994140625,8655.5
2016-08-25,2172.469970703125,8599.5
2016-08-26,2169.0400390625,8659.5
2016-08-29,2180.3798828125,8616.400390625
2016-08-30,2176.1201171875,8685.400390625
2016-08-31,2170.949951171875,8716.7998046875
2016-09-01,2170.860107421875,8762.7998046875
2016-09-02,2179.97998046875,8908.900390625
2016-09-06,2186.47998046875,8899.5
2016-09-07,2186.159912109375,9015.2998046875
2016-09-08,2181.300048828125,9101.099609375
2016-09-09,2127.81005859375,9025.5
2016-09-12,2159.0400390625,8866.599609375
2016-09-13,2127.02001953125,8724.2001953125
2016-09-14,2125.77001953125,8702.400390625
2016-09-15,2147.260009765625,8720.5
2016-09-16,2139.159912109375,8633.400390625
2016-09-19,2139.1201171875,8715.5
2016-09-20,2139.760009765625,8686.099609375
2016-09-21,2163.1201171875,8758.5
